Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-JAN-2014,6301.65,6331.45,6263.9,6266.75,160270856,6209.06
27-JAN-2014,6186.3,6188.55,6130.25,6135.85,190442601,7091.1
28-JAN-2014,6131.85,6163.6,6085.95,6126.25,184111740,7710.08
29-JAN-2014,6161,6170.45,6109.8,6120.25,146733030,6487.39
30-JAN-2014,6067,6082.85,6027.25,6073.7,208061426,7694.04
31-JAN-2014,6082.75,6097.85,6067.35,6089.5,146713083,5407.1
03-FEB-2014,6058.8,6074.85,5994.45,6001.8,134893587,4635.69
04-FEB-2014,5947.6,6017.8,5933.3,6000.9,183252654,6075.02
05-FEB-2014,6004.25,6028.05,5962.05,6022.4,166627311,5572.13
06-FEB-2014,6028.35,6048.35,5965.4,6036.3,185503324,6291.97
07-FEB-2014,6077.65,6079.95,6030.9,6063.2,181932292,5591.39
10-FEB-2014,6072.8,6083.05,6046.4,6053.45,133070328,4762.89
11-FEB-2014,6072.45,6081.85,6053.25,6062.7,150520900,5268.8
12-FEB-2014,6085.35,6106.6,6077.4,6084,138547391,5351.08
13-FEB-2014,6087.55,6094.4,5991.1,6001.1,153652371,5037.18
14-FEB-2014,6023.75,6056.4,5984.6,6048.35,140204479,5539.7
17-FEB-2014,6057.1,6080.65,6038.3,6073.3,108492457,4455.65
18-FEB-2014,6071.3,6141.7,6066.8,6127.1,126639146,4592.38
19-FEB-2014,6132.05,6160.35,6125.75,6152.75,95248833,3735.52
20-FEB-2014,6127.15,6129.1,6086.45,6091.45,132108928,4344.77
21-FEB-2014,6108.3,6159.65,6108,6155.45,112596128,4001.93
24-FEB-2014,6140.95,6191.85,6130.8,6186.1,144877047,4424.81
25-FEB-2014,6205.7,6216.85,6176.6,6200.05,146259298,4782.95
26-FEB-2014,6202.45,6245.95,6202.1,6238.8,181663811,6641.33
28-FEB-2014,6228.45,6282.7,6228.1,6276.95,209914263,7869.42
03-MAR-2014,6264.35,6277.75,6212.25,6221.45,144562338,5040.12
04-MAR-2014,6216.75,6302.15,6215.7,6297.95,166818924,5550.29
05-MAR-2014,6328.45,6336.25,6287.8,6328.65,160300066,5754.58
06-MAR-2014,6344.75,6406.6,6339.7,6401.15,180731810,5844.96
07-MAR-2014,6413.95,6537.8,6413.55,6526.65,284922346,11368.15
10-MAR-2014,6491.7,6562.2,6487.35,6537.25,242143703,9992.74
11-MAR-2014,6537.35,6562.85,6494.25,6511.9,238994883,8268.67
12-MAR-2014,6497.5,6546.15,6487.3,6516.9,174977068,6176.54
13-MAR-2014,6491.75,6561.45,6476.65,6493.1,167858387,8356.1
14-MAR-2014,6447.25,6518.45,6432.7,6504.2,177336088,7114.55
18-MAR-2014,6532.45,6574.95,6497.65,6516.65,179308616,7268.52
19-MAR-2014,6530,6541.2,6506,6524.05,172464722,7666.24
20-MAR-2014,6508.35,6523.65,6473.25,6483.1,141984189,6280.76
21-MAR-2014,6515.2,6522.9,6485.7,6493.2,189854420,8841.94
22-MAR-2014,6497.8,6502.65,6481.35,6494.9,9774392,373.66
24-MAR-2014,6510.5,6591.5,6510.5,6583.5,158395722,6633.77
25-MAR-2014,6550.1,6595.55,6544.85,6589.75,168125064,6475.61
26-MAR-2014,6615.65,6627.45,6580.6,6601.4,186570474,7046.34
27-MAR-2014,6613.1,6673.95,6599.5,6641.75,312383468,12924.37
28-MAR-2014,6673.05,6702.6,6643.8,6695.9,,
31-MAR-2014,6723.15,6730.05,6662.4,6704.2,,
